country,year,co2_per_capita_tco2e_excl_lulucf,co2_total_mtco2e_excl_lulucf,energy_use_kg_oe_per_capita,gdp_current_usd,population_total,renewable_electricity_pct,renewable_energy_consumption_pct,urban_pop_pct,missing_indicator_count
KHM,2002,0.174831417007274,2.2475,272.095279032918,4501227626.62752,12855241.0,4.06043956043956,81.0,18.82,0
KHM,2003,0.185242964353296,2.4176,275.5985706572,5046693484.31767,13050968.0,5.37221494102228,79.9,18.937,0
KHM,2004,0.182646216068865,2.4191,279.272336910563,5883297159.87352,13244731.0,3.55092024539877,80.7,19.055,0
KHM,2005,0.200964313208478,2.7008,286.390391082312,7066296463.3598,13439202.0,4.61099585062241,79.2,19.174,0
KHM,2006,0.220492252087172,3.0073,289.726360027538,8350531016.65753,13639028.0,4.51993214588634,78.0,19.293,0
KHM,2007,0.267053996707069,3.6965,298.213771742013,10127916459.8983,13841770.0,3.83512064343164,74.8,19.413,0
KHM,2008,0.291507889256461,4.0967,296.389616055637,12174303999.0812,14053479.0,3.61470985155196,74.1,19.571,0
KHM,2009,0.341364772662801,4.8736,311.4624062289,12502901169.7377,14276810.0,4.52764612954186,68.0,19.93,0
KHM,2010,0.355699431876721,5.1579,323.255970747488,13808673288.0696,14500726.0,4.03838582677165,64.8,20.294,0
KHM,2011,0.364290670713782,5.3633,325.063800981871,16032622023.8265,14722584.0,6.53911404335533,64.0,20.663,0
KHM,2012,0.376732551203289,5.6303,334.025964498856,17826536699.8016,14945085.0,36.4129993229519,64.4,21.037,0
KHM,2013,0.375176134697692,5.6915,337.778887518004,19807135252.8649,15170208.0,56.6552100381888,65.0,21.415,0
KHM,2014,0.456504779053687,7.0287,359.949524640373,22041463967.9009,15396772.0,60.0586750788644,63.7,21.799,0
KHM,2015,0.544957000306786,8.514,379.745573981888,24174170369.0738,15623251.0,48.5870786516854,60.6,22.188,0
KHM,2016,0.668090053222764,10.5911,412.747652430932,26556545153.3573,15852803.0,46.0111837577426,58.0,22.582,0
KHM,2017,0.737163303381518,11.8487,418.953616262105,29355665909.7905,16073372.0,41.1053545586107,56.3,22.98,0
KHM,2018,0.757988468109847,12.3359,440.94962587052,33145892168.8958,16274522.0,57.2159690467816,58.1,23.388,0
KHM,2019,0.962005190851403,15.8551,489.36782496618,36685356407.7206,16481304.0,47.312375249501,53.0,23.805,0
KHM,2020,0.992486072442551,16.5998,516.116717657277,34818073901.4851,16725474.0,46.9453305466945,51.4,24.232,0
KHM,2021,0.988405710867102,16.7775,501.330977178892,36790163687.4421,16974305.0,56.4018810620163,52.4,24.668,0
KHM,2022,1.00888143537241,17.3545,501.644136152087,39994532959.6074,17201724.0,56.4018810620163,52.4,25.114,0
KHM,2023,1.03134893031862,17.9701,501.644136152087,42335646895.7984,17423880.0,56.4018810620163,52.4,25.57,0
KHM,2024,1.03134893031862,17.9701,501.644136152087,46352647034.7775,17638801.0,56.4018810620163,52.4,26.035,0
LAO,1990,0.0597408831956734,0.2576,296.828433223862,865559879.400406,4311955.0,99.6551724137931,88.4,15.437,0
LAO,1991,0.0710240403975723,0.315,296.828433223862,1028087972.31085,4435118.0,99.6551724137931,88.0,15.782,0
LAO,1992,0.0761901252860419,0.3474,296.828433223862,1127806944.61513,4559646.0,99.6551724137931,87.0,16.133,0
LAO,1993,0.0781420088536753,0.3661,296.828433223862,1327748689.88094,4685060.0,99.6551724137931,86.7,16.49,0
LAO,1994,0.0839637196884318,0.4038,296.828433223862,1543606345.11684,4809220.0,99.6551724137931,86.3,16.854,0
LAO,1995,0.0804356059722372,0.3965,296.828433223862,1763536304.53964,4929409.0,99.6551724137931,85.6,17.378,0
LAO,1996,0.0921977185226644,0.4652,296.828433223862,1873671550.34636,5045678.0,99.6551724137931,84.9,18.234,0
